"age","female","pathway","disease_type","riskfactor","V1","V2","V3"
65,0,"medBMI","Cancer","dairy_tot",0,0,0
65,0,"medSBP","Cancer","dairy_tot",0,0,0
75,0,"direct","Cancer","dairy_tot",1431.86225613427,973.209581176539,1258.17593537165
75,0,"medBMI","Cancer","dairy_tot",0,0,0
75,0,"medSBP","Cancer","dairy_tot",0,0,0
25,1,"direct","Cancer","dairy_tot",98.7034243728467,108.340000544885,103.509512250485
25,1,"medBMI","Cancer","dairy_tot",0,0,0
25,1,"medSBP","Cancer","dairy_tot",0,0,0
35,1,"direct","Cancer","dairy_tot",259.554116522862,226.585915690363,264.76596943715
35,1,"medBMI","Cancer","dairy_tot",0,0,0
35,1,"medSBP","Cancer","dairy_tot",0,0,0
45,1,"direct","Cancer","dairy_tot",680.543719399837,679.636951232973,537.772934199832
45,1,"medBMI","Cancer","dairy_tot",0,0,0
45,1,"medSBP","Cancer","dairy_tot",0,0,0
55,1,"direct","Cancer","dairy_tot",1192.98438181559,1205.20512346737,1370.28282610686
55,1,"medBMI","Cancer","dairy_tot",0,0,0
55,1,"medSBP","Cancer","dairy_tot",0,0,0
65,1,"direct","Cancer","dairy_tot",1219.85439007308,1353.6470417523,1259.84397460135
65,1,"medBMI","Cancer","dairy_tot",0,0,0
65,1,"medSBP","Cancer","dairy_tot",0,0,0
75,1,"direct","Cancer","dairy_tot",2015.73122701649,1699.24843598647,1461.49022368125
75,1,"medBMI","Cancer","dairy_tot",0,0,0
75,1,"medSBP","Cancer","dairy_tot",0,0,0
25,0,"direct","CMD","leg_tot",57.6385578621376,55.9697624238862,58.8356700479714
25,0,"medBMI","CMD","leg_tot",112.825422940691,100.700836597333,90.0886917654105
25,0,"medSBP","CMD","leg_tot",0,0,0
35,0,"direct","CMD","leg_tot",182.935268643827,224.856688210311,193.604280141115
35,0,"medBMI","CMD","leg_tot",295.631707959667,302.315246298964,268.488792862926
35,0,"medSBP","CMD","leg_tot",0,0,0
45,0,"direct","CMD","leg_tot",637.887924838606,701.519631085858,654.214418069957
45,0,"medBMI","CMD","leg_tot",885.196206070478,733.656177178647,689.258641566488
45,0,"medSBP","CMD","leg_tot",0,0,0
55,0,"direct","CMD","leg_tot",1035.58141288201,1274.5973985636,1662.98563640818
55,0,"medBMI","CMD","leg_tot",1678.02784460274,1305.26677319348,1341.24953609169
55,0,"medSBP","CMD","leg_tot",0,0,0
65,0,"direct","CMD","leg_tot",1723.96111561195,2549.71049104329,2007.66125396505
65,0,"medBMI","CMD","leg_tot",2091.40552533952,2041.27345789964,1751.48263464808
65,0,"medSBP","CMD","leg_tot",0,0,0
75,0,"direct","CMD","leg_tot",2845.93830309916,2030.41593778288,2442.91907564415
75,0,"medBMI","CMD","leg_tot",2539.01687406425,2713.71399977339,2389.22117524989
75,0,"medSBP","CMD","leg_tot",0,0,0
25,1,"direct","CMD","leg_tot",32.041941279951,31.8629700005268,38.9164673654205
25,1,"medBMI","CMD","leg_tot",57.2929403215888,69.1412208950437,59.0358003911561
25,1,"medSBP","CMD","leg_tot",0,0,0
35,1,"direct","CMD","leg_tot",127.302482640965,141.039289243876,132.932918150585
35,1,"medBMI","CMD","leg_tot",148.322935108271,148.795148799283,107.877602327621
35,1,"medSBP","CMD","leg_tot",0,0,0
45,1,"direct","CMD","leg_tot",318.167008020061,333.982822802262,352.483094770713
45,1,"medBMI","CMD","leg_tot",295.826130322082,341.669888512552,417.344001900277
45,1,"medSBP","CMD","leg_tot",0,0,0
55,1,"direct","CMD","leg_tot",765.211137250774,585.766576867273,776.737404969618
55,1,"medBMI","CMD","leg_tot",629.306268042222,707.969484529327,751.900121753908
55,1,"medSBP","CMD","leg_tot",0,0,0
65,1,"direct","CMD","leg_tot",1514.34272758791,1144.46327916514,1024.59476307178
65,1,"medBMI","CMD","leg_tot",914.234662733352,1030.15101123545,1130.275865986
65,1,"medSBP","CMD","leg_tot",0,0,0
75,1,"direct","CMD","leg_tot",3682.08074011842,3855.39053947976,3679.51811725827
75,1,"medBMI","CMD","leg_tot",3314.66593894389,3337.46101276217,3720.47636247134
75,1,"medSBP","CMD","leg_tot",0,0,0
25,0,"direct","Cancer","leg_tot",22.1822955128087,12.2227533749922,21.3869106926497
25,0,"medBMI","Cancer","leg_tot",17.9504933158762,17.9791899260005,17.4767303346177
25,0,"medSBP","Cancer","leg_tot",0,0,0
35,0,"direct","Cancer","leg_tot",42.9571143225589,68.1351540744124,36.0059067279613
35,0,"medBMI","Cancer","leg_tot",51.9987903984975,58.6368712120882,51.2559075990291
35,0,"medSBP","Cancer","leg_tot",0,0,0
45,0,"direct","Cancer","leg_tot",206.156562476907,246.351206998011,142.652589051847
45,0,"medBMI","Cancer","leg_tot",180.881095873161,201.225531661882,181.136352366927
45,0,"medSBP","Cancer","leg_tot",0,0,0
55,0,"direct","Cancer","leg_tot",359.141587501265,543.285391477852,392.959763007591
55,0,"medBMI","Cancer","leg_tot",479.740880810523,536.757001281395,670.459279181508
55,0,"medSBP","Cancer","leg_tot",0,0,0
65,0,"direct","Cancer","leg_tot",556.8296726427,661.093091081644,622.872867442368
65,0,"medBMI","Cancer","leg_tot",584.052375152481,529.404902923375,464.144376171974
65,0,"medSBP","Cancer","leg_tot",0,0,0
75,0,"direct","Cancer","leg_tot",339.608784666201,332.027286992197,304.625209695454
75,0,"medBMI","Cancer","leg_tot",400.799625985602,430.884668418846,357.899130996148
75,0,"medSBP","Cancer","leg_tot",0,0,0
25,1,"direct","Cancer","leg_tot",15.3366529045883,14.4263859125371,16.9493874556685
25,1,"medBMI","Cancer","leg_tot",54.7068663738021,60.0893672360631,43.9201893792388
25,1,"medSBP","Cancer","leg_tot",0,0,0
35,1,"direct","Cancer","leg_tot",18.7501455359398,26.521189733685,32.3150357353578
35,1,"medBMI","Cancer","leg_tot",120.315067473562,137.2683985191,154.109183558936
35,1,"medSBP","Cancer","leg_tot",0,0,0
45,1,"direct","Cancer","leg_tot",91.1313813534054,57.0325498627513,99.2308928930884
45,1,"medBMI","Cancer","leg_tot",476.284322861598,483.522324243028,409.405521339573
45,1,"medSBP","Cancer","leg_tot",0,0,0
55,1,"direct","Cancer","leg_tot",237.009200207145,164.321282333876,281.6829456598
55,1,"medBMI","Cancer","leg_tot",1190.57728814099,1089.25467296205,1256.62334893417
55,1,"medSBP","Cancer","leg_tot",0,0,0
65,1,"direct","Cancer","leg_tot",215.854254772054,134.557665730974,224.715875088699
65,1,"medBMI","Cancer","leg_tot",1326.4683991415,955.356561312244,1286.49347394549
65,1,"medSBP","Cancer","leg_tot",0,0,0
75,1,"direct","Cancer","leg_tot",204.994518806422,214.316497043048,199.831858415784
75,1,"medBMI","Cancer","leg_tot",808.183632198723,909.399513111715,714.307366523343
75,1,"medSBP","Cancer","leg_tot",0,0,0
