subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,diseases,count,crude_se,population
28,4,55-64,1,Female,4,OTH,AA_medBMI,15,4,2629488
29,4,55-64,2,Male,1,NHW,AA_medBMI,774,28,15564860
30,4,55-64,2,Male,2,NHB,AA_medBMI,172,14,2050599
31,4,55-64,2,Male,3,HIS,AA_medBMI,83,10,2832735
32,4,55-64,2,Male,4,OTH,AA_medBMI,40,7,2195076
33,5,65-74,1,Female,1,NHW,AA_medBMI,603,25,11513863
34,5,65-74,1,Female,2,NHB,AA_medBMI,108,11,1390166
35,5,65-74,1,Female,3,HIS,AA_medBMI,32,6,1616432
36,5,65-74,1,Female,4,OTH,AA_medBMI,28,6,1089947
37,5,65-74,2,Male,1,NHW,AA_medBMI,1143,35,10345066
38,5,65-74,2,Male,2,NHB,AA_medBMI,125,12,1099252
39,5,65-74,2,Male,3,HIS,AA_medBMI,63,8,1168063
40,5,65-74,2,Male,4,OTH,AA_medBMI,53,8,989548
41,6,75+,1,Female,1,NHW,AA_medBMI,2333,69,9145660
42,6,75+,1,Female,2,NHB,AA_medBMI,215,21,1249362
43,6,75+,1,Female,3,HIS,AA_medBMI,92,14,737080
44,6,75+,1,Female,4,OTH,AA_medBMI,92,14,689818
45,6,75+,2,Male,1,NHW,AA_medBMI,2128,66,6831819
46,6,75+,2,Male,2,NHB,AA_medBMI,112,15,670963
47,6,75+,2,Male,3,HIS,AA_medBMI,115,16,548525
48,6,75+,2,Male,4,OTH,AA_medBMI,90,14,638884
1,1,20-34,1,Female,1,NHW,AA_medSBP,20,4,18192633
2,1,20-34,1,Female,2,NHB,AA_medSBP,13,4,4596338
3,1,20-34,1,Female,3,HIS,AA_medSBP,9,2,6549965
4,1,20-34,1,Female,4,OTH,AA_medSBP,4,1,3878604
5,1,20-34,2,Male,1,NHW,AA_medSBP,45,6,19295314
6,1,20-34,2,Male,2,NHB,AA_medSBP,27,5,4186659
7,1,20-34,2,Male,3,HIS,AA_medSBP,20,5,6886181
8,1,20-34,2,Male,4,OTH,AA_medSBP,9,1,3785306
9,2,35-44,1,Female,1,NHW,AA_medSBP,44,8,10789518
10,2,35-44,1,Female,2,NHB,AA_medSBP,25,6,2841551
11,2,35-44,1,Female,3,HIS,AA_medSBP,9,2,4706043
12,2,35-44,1,Female,4,OTH,AA_medSBP,8,1,2705155
13,2,35-44,2,Male,1,NHW,AA_medSBP,134,12,10698668
14,2,35-44,2,Male,2,NHB,AA_medSBP,86,10,2373836
15,2,35-44,2,Male,3,HIS,AA_medSBP,29,6,4477083
16,2,35-44,2,Male,4,OTH,AA_medSBP,12,4,2268050
17,3,45-54,1,Female,1,NHW,AA_medSBP,91,10,12961330
18,3,45-54,1,Female,2,NHB,AA_medSBP,44,7,2294986
19,3,45-54,1,Female,3,HIS,AA_medSBP,13,4,2981376
20,3,45-54,1,Female,4,OTH,AA_medSBP,9,1,1908325
21,3,45-54,2,Male,1,NHW,AA_medSBP,282,18,10622756
22,3,45-54,2,Male,2,NHB,AA_medSBP,108,11,2323392
23,3,45-54,2,Male,3,HIS,AA_medSBP,60,8,3207152
24,3,45-54,2,Male,4,OTH,AA_medSBP,23,5,2807268
25,4,55-64,1,Female,1,NHW,AA_medSBP,244,16,16626401
26,4,55-64,1,Female,2,NHB,AA_medSBP,81,9,3005374
27,4,55-64,1,Female,3,HIS,AA_medSBP,22,5,2911586
28,4,55-64,1,Female,4,OTH,AA_medSBP,15,4,2629488
29,4,55-64,2,Male,1,NHW,AA_medSBP,774,28,15564860
30,4,55-64,2,Male,2,NHB,AA_medSBP,172,14,2050599
31,4,55-64,2,Male,3,HIS,AA_medSBP,83,10,2832735
32,4,55-64,2,Male,4,OTH,AA_medSBP,40,7,2195076
33,5,65-74,1,Female,1,NHW,AA_medSBP,603,25,11513863
34,5,65-74,1,Female,2,NHB,AA_medSBP,108,11,1390166
35,5,65-74,1,Female,3,HIS,AA_medSBP,32,6,1616432
36,5,65-74,1,Female,4,OTH,AA_medSBP,28,6,1089947
37,5,65-74,2,Male,1,NHW,AA_medSBP,1143,35,10345066
38,5,65-74,2,Male,2,NHB,AA_medSBP,125,12,1099252
39,5,65-74,2,Male,3,HIS,AA_medSBP,63,8,1168063
40,5,65-74,2,Male,4,OTH,AA_medSBP,53,8,989548
41,6,75+,1,Female,1,NHW,AA_medSBP,2333,69,9145660
42,6,75+,1,Female,2,NHB,AA_medSBP,215,21,1249362
43,6,75+,1,Female,3,HIS,AA_medSBP,92,14,737080
44,6,75+,1,Female,4,OTH,AA_medSBP,92,14,689818
45,6,75+,2,Male,1,NHW,AA_medSBP,2128,66,6831819
46,6,75+,2,Male,2,NHB,AA_medSBP,112,15,670963
47,6,75+,2,Male,3,HIS,AA_medSBP,115,16,548525
48,6,75+,2,Male,4,OTH,AA_medSBP,90,14,638884
1,1,20-34,1,Female,1,NHW,AFF,0,0,18192633
2,1,20-34,1,Female,2,NHB,AFF,0,0,4596338
3,1,20-34,1,Female,3,HIS,AFF,0,0,6549965
4,1,20-34,1,Female,4,OTH,AFF,0,0,3878604
5,1,20-34,2,Male,1,NHW,AFF,6,2,19295314
6,1,20-34,2,Male,2,NHB,AFF,2,1,4186659
7,1,20-34,2,Male,3,HIS,AFF,3,1,6886181
8,1,20-34,2,Male,4,OTH,AFF,1,1,3785306
9,2,35-44,1,Female,1,NHW,AFF,12,4,10789518
10,2,35-44,1,Female,2,NHB,AFF,3,1,2841551
11,2,35-44,1,Female,3,HIS,AFF,4,1,4706043
12,2,35-44,1,Female,4,OTH,AFF,2,1,2705155
13,2,35-44,2,Male,1,NHW,AFF,19,5,10698668
14,2,35-44,2,Male,2,NHB,AFF,11,4,2373836
15,2,35-44,2,Male,3,HIS,AFF,8,2,4477083
16,2,35-44,2,Male,4,OTH,AFF,3,1,2268050
17,3,45-54,1,Female,1,NHW,AFF,38,7,12961330
18,3,45-54,1,Female,2,NHB,AFF,13,4,2294986
19,3,45-54,1,Female,3,HIS,AFF,9,2,2981376
20,3,45-54,1,Female,4,OTH,AFF,5,1,1908325
21,3,45-54,2,Male,1,NHW,AFF,100,11,10622756
22,3,45-54,2,Male,2,NHB,AFF,28,6,2323392
23,3,45-54,2,Male,3,HIS,AFF,12,4,3207152
24,3,45-54,2,Male,4,OTH,AFF,9,1,2807268
25,4,55-64,1,Female,1,NHW,AFF,246,16,16626401
26,4,55-64,1,Female,2,NHB,AFF,54,8,3005374
27,4,55-64,1,Female,3,HIS,AFF,16,5,2911586
28,4,55-64,1,Female,4,OTH,AFF,10,4,2629488
29,4,55-64,2,Male,1,NHW,AFF,518,24,15564860
30,4,55-64,2,Male,2,NHB,AFF,100,11,2050599
31,4,55-64,2,Male,3,HIS,AFF,41,7,2832735
32,4,55-64,2,Male,4,OTH,AFF,19,5,2195076
33,5,65-74,1,Female,1,NHW,AFF,1043,33,11513863
34,5,65-74,1,Female,2,NHB,AFF,130,12,1390166
35,5,65-74,1,Female,3,HIS,AFF,60,8,1616432
36,5,65-74,1,Female,4,OTH,AFF,55,8,1089947
37,5,65-74,2,Male,1,NHW,AFF,1346,37,10345066
38,5,65-74,2,Male,2,NHB,AFF,179,14,1099252
39,5,65-74,2,Male,3,HIS,AFF,80,9,1168063
40,5,65-74,2,Male,4,OTH,AFF,35,6,989548
41,6,75+,1,Female,1,NHW,AFF,12141,151,9145660
42,6,75+,1,Female,2,NHB,AFF,658,37,1249362
43,6,75+,1,Female,3,HIS,AFF,526,33,737080
44,6,75+,1,Female,4,OTH,AFF,302,25,689818
45,6,75+,2,Male,1,NHW,AFF,7200,119,6831819
46,6,75+,2,Male,2,NHB,AFF,330,26,670963
47,6,75+,2,Male,3,HIS,AFF,271,24,548525
48,6,75+,2,Male,4,OTH,AFF,163,19,638884
1,1,20-34,1,Female,1,NHW,AFF_medBMI,0,0,18192633
2,1,20-34,1,Female,2,NHB,AFF_medBMI,0,0,4596338
3,1,20-34,1,Female,3,HIS,AFF_medBMI,0,0,6549965
4,1,20-34,1,Female,4,OTH,AFF_medBMI,0,0,3878604
5,1,20-34,2,Male,1,NHW,AFF_medBMI,6,2,19295314
6,1,20-34,2,Male,2,NHB,AFF_medBMI,2,1,4186659
7,1,20-34,2,Male,3,HIS,AFF_medBMI,3,1,6886181
8,1,20-34,2,Male,4,OTH,AFF_medBMI,1,1,3785306
9,2,35-44,1,Female,1,NHW,AFF_medBMI,12,4,10789518
10,2,35-44,1,Female,2,NHB,AFF_medBMI,3,1,2841551
11,2,35-44,1,Female,3,HIS,AFF_medBMI,4,1,4706043
12,2,35-44,1,Female,4,OTH,AFF_medBMI,2,1,2705155
13,2,35-44,2,Male,1,NHW,AFF_medBMI,19,5,10698668
14,2,35-44,2,Male,2,NHB,AFF_medBMI,11,4,2373836
15,2,35-44,2,Male,3,HIS,AFF_medBMI,8,2,4477083
16,2,35-44,2,Male,4,OTH,AFF_medBMI,3,1,2268050
17,3,45-54,1,Female,1,NHW,AFF_medBMI,38,7,12961330
18,3,45-54,1,Female,2,NHB,AFF_medBMI,13,4,2294986
19,3,45-54,1,Female,3,HIS,AFF_medBMI,9,2,2981376
20,3,45-54,1,Female,4,OTH,AFF_medBMI,5,1,1908325
21,3,45-54,2,Male,1,NHW,AFF_medBMI,100,11,10622756
22,3,45-54,2,Male,2,NHB,AFF_medBMI,28,6,2323392
23,3,45-54,2,Male,3,HIS,AFF_medBMI,12,4,3207152
24,3,45-54,2,Male,4,OTH,AFF_medBMI,9,1,2807268
25,4,55-64,1,Female,1,NHW,AFF_medBMI,246,16,16626401
26,4,55-64,1,Female,2,NHB,AFF_medBMI,54,8,3005374
27,4,55-64,1,Female,3,HIS,AFF_medBMI,16,5,2911586
28,4,55-64,1,Female,4,OTH,AFF_medBMI,10,4,2629488
29,4,55-64,2,Male,1,NHW,AFF_medBMI,518,24,15564860
30,4,55-64,2,Male,2,NHB,AFF_medBMI,100,11,2050599
31,4,55-64,2,Male,3,HIS,AFF_medBMI,41,7,2832735
32,4,55-64,2,Male,4,OTH,AFF_medBMI,19,5,2195076
33,5,65-74,1,Female,1,NHW,AFF_medBMI,1043,33,11513863
34,5,65-74,1,Female,2,NHB,AFF_medBMI,130,12,1390166
35,5,65-74,1,Female,3,HIS,AFF_medBMI,60,8,1616432
36,5,65-74,1,Female,4,OTH,AFF_medBMI,55,8,1089947
37,5,65-74,2,Male,1,NHW,AFF_medBMI,1346,37,10345066
38,5,65-74,2,Male,2,NHB,AFF_medBMI,179,14,1099252
39,5,65-74,2,Male,3,HIS,AFF_medBMI,80,9,1168063
40,5,65-74,2,Male,4,OTH,AFF_medBMI,35,6,989548
41,6,75+,1,Female,1,NHW,AFF_medBMI,12141,151,9145660
42,6,75+,1,Female,2,NHB,AFF_medBMI,658,37,1249362
43,6,75+,1,Female,3,HIS,AFF_medBMI,526,33,737080
44,6,75+,1,Female,4,OTH,AFF_medBMI,302,25,689818
45,6,75+,2,Male,1,NHW,AFF_medBMI,7200,119,6831819
46,6,75+,2,Male,2,NHB,AFF_medBMI,330,26,670963
47,6,75+,2,Male,3,HIS,AFF_medBMI,271,24,548525
48,6,75+,2,Male,4,OTH,AFF_medBMI,163,19,638884
1,1,20-34,1,Female,1,NHW,AFF_medSBP,0,0,18192633
2,1,20-34,1,Female,2,NHB,AFF_medSBP,0,0,4596338
3,1,20-34,1,Female,3,HIS,AFF_medSBP,0,0,6549965
4,1,20-34,1,Female,4,OTH,AFF_medSBP,0,0,3878604
5,1,20-34,2,Male,1,NHW,AFF_medSBP,6,2,19295314
6,1,20-34,2,Male,2,NHB,AFF_medSBP,2,1,4186659
7,1,20-34,2,Male,3,HIS,AFF_medSBP,3,1,6886181
8,1,20-34,2,Male,4,OTH,AFF_medSBP,1,1,3785306
9,2,35-44,1,Female,1,NHW,AFF_medSBP,12,4,10789518
10,2,35-44,1,Female,2,NHB,AFF_medSBP,3,1,2841551
11,2,35-44,1,Female,3,HIS,AFF_medSBP,4,1,4706043
12,2,35-44,1,Female,4,OTH,AFF_medSBP,2,1,2705155
13,2,35-44,2,Male,1,NHW,AFF_medSBP,19,5,10698668
14,2,35-44,2,Male,2,NHB,AFF_medSBP,11,4,2373836
15,2,35-44,2,Male,3,HIS,AFF_medSBP,8,2,4477083
16,2,35-44,2,Male,4,OTH,AFF_medSBP,3,1,2268050
17,3,45-54,1,Female,1,NHW,AFF_medSBP,38,7,12961330
18,3,45-54,1,Female,2,NHB,AFF_medSBP,13,4,2294986
19,3,45-54,1,Female,3,HIS,AFF_medSBP,9,2,2981376
20,3,45-54,1,Female,4,OTH,AFF_medSBP,5,1,1908325
21,3,45-54,2,Male,1,NHW,AFF_medSBP,100,11,10622756
22,3,45-54,2,Male,2,NHB,AFF_medSBP,28,6,2323392
23,3,45-54,2,Male,3,HIS,AFF_medSBP,12,4,3207152
24,3,45-54,2,Male,4,OTH,AFF_medSBP,9,1,2807268
25,4,55-64,1,Female,1,NHW,AFF_medSBP,246,16,16626401
26,4,55-64,1,Female,2,NHB,AFF_medSBP,54,8,3005374
27,4,55-64,1,Female,3,HIS,AFF_medSBP,16,5,2911586
28,4,55-64,1,Female,4,OTH,AFF_medSBP,10,4,2629488
29,4,55-64,2,Male,1,NHW,AFF_medSBP,518,24,15564860
30,4,55-64,2,Male,2,NHB,AFF_medSBP,100,11,2050599
31,4,55-64,2,Male,3,HIS,AFF_medSBP,41,7,2832735
32,4,55-64,2,Male,4,OTH,AFF_medSBP,19,5,2195076
33,5,65-74,1,Female,1,NHW,AFF_medSBP,1043,33,11513863
34,5,65-74,1,Female,2,NHB,AFF_medSBP,130,12,1390166
35,5,65-74,1,Female,3,HIS,AFF_medSBP,60,8,1616432
36,5,65-74,1,Female,4,OTH,AFF_medSBP,55,8,1089947
37,5,65-74,2,Male,1,NHW,AFF_medSBP,1346,37,10345066
38,5,65-74,2,Male,2,NHB,AFF_medSBP,179,14,1099252
39,5,65-74,2,Male,3,HIS,AFF_medSBP,80,9,1168063
40,5,65-74,2,Male,4,OTH,AFF_medSBP,35,6,989548
41,6,75+,1,Female,1,NHW,AFF_medSBP,12141,151,9145660
42,6,75+,1,Female,2,NHB,AFF_medSBP,658,37,1249362
43,6,75+,1,Female,3,HIS,AFF_medSBP,526,33,737080
44,6,75+,1,Female,4,OTH,AFF_medSBP,302,25,689818
45,6,75+,2,Male,1,NHW,AFF_medSBP,7200,119,6831819
46,6,75+,2,Male,2,NHB,AFF_medSBP,330,26,670963
47,6,75+,2,Male,3,HIS,AFF_medSBP,271,24,548525
48,6,75+,2,Male,4,OTH,AFF_medSBP,163,19,638884
1,1,20-34,1,Female,1,NHW,ALL,16306,270,18192633
2,1,20-34,1,Female,2,NHB,ALL,2811,106,4596338
3,1,20-34,1,Female,3,HIS,ALL,4457,108,6549965
4,1,20-34,1,Female,4,OTH,ALL,3011,99,3878604
5,1,20-34,2,Male,1,NHW,ALL,11184,224,19295314
6,1,20-34,2,Male,2,NHB,ALL,1301,69,4186659
7,1,20-34,2,Male,3,HIS,ALL,3404,93,6886181
8,1,20-34,2,Male,4,OTH,ALL,1709,74,3785306
9,2,35-44,1,Female,1,NHW,ALL,28642,343,10789518
10,2,35-44,1,Female,2,NHB,ALL,6721,170,2841551
11,2,35-44,1,Female,3,HIS,ALL,10186,180,4706043
12,2,35-44,1,Female,4,OTH,ALL,7021,150,2705155
13,2,35-44,2,Male,1,NHW,ALL,15309,247,10698668
14,2,35-44,2,Male,2,NHB,ALL,2826,105,2373836
15,2,35-44,2,Male,3,HIS,ALL,3845,105,4477083
16,2,35-44,2,Male,4,OTH,ALL,2502,87,2268050
17,3,45-54,1,Female,1,NHW,ALL,73599,572,12961330
18,3,45-54,1,Female,2,NHB,ALL,11089,197,2294986
19,3,45-54,1,Female,3,HIS,ALL,12825,174,2981376
20,3,45-54,1,Female,4,OTH,ALL,10043,159,1908325
21,3,45-54,2,Male,1,NHW,ALL,44071,400,10622756
22,3,45-54,2,Male,2,NHB,ALL,10664,205,2323392
23,3,45-54,2,Male,3,HIS,ALL,7869,140,3207152
24,3,45-54,2,Male,4,OTH,ALL,8725,192,2807268
25,4,55-64,1,Female,1,NHW,ALL,156717,880,16626401
26,4,55-64,1,Female,2,NHB,ALL,27872,367,3005374
27,4,55-64,1,Female,3,HIS,ALL,21512,261,2911586
28,4,55-64,1,Female,4,OTH,ALL,20643,285,2629488
29,4,55-64,2,Male,1,NHW,ALL,174024,911,15564860
30,4,55-64,2,Male,2,NHB,ALL,28162,329,2050599
31,4,55-64,2,Male,3,HIS,ALL,20584,258,2832735
32,4,55-64,2,Male,4,OTH,ALL,19558,277,2195076
33,5,65-74,1,Female,1,NHW,ALL,177434,879,11513863
34,5,65-74,1,Female,2,NHB,ALL,20773,273,1390166
35,5,65-74,1,Female,3,HIS,ALL,19044,244,1616432
36,5,65-74,1,Female,4,OTH,ALL,12547,170,1089947
37,5,65-74,2,Male,1,NHW,ALL,222301,980,10345066
38,5,65-74,2,Male,2,NHB,ALL,27371,320,1099252
39,5,65-74,2,Male,3,HIS,ALL,17759,218,1168063
40,5,65-74,2,Male,4,OTH,ALL,16838,210,989548
41,6,75+,1,Female,1,NHW,ALL,177441,864,9145660
42,6,75+,1,Female,2,NHB,ALL,21018,318,1249362
43,6,75+,1,Female,3,HIS,ALL,10474,146,737080
44,6,75+,1,Female,4,OTH,ALL,9329,134,689818
45,6,75+,2,Male,1,NHW,ALL,197860,930,6831819
46,6,75+,2,Male,2,NHB,ALL,16803,273,670963
47,6,75+,2,Male,3,HIS,ALL,11204,159,548525
48,6,75+,2,Male,4,OTH,ALL,13344,185,638884
1,1,20-34,1,Female,1,NHW,APCA,0,0,18192633
2,1,20-34,1,Female,2,NHB,APCA,0,0,4596338
3,1,20-34,1,Female,3,HIS,APCA,0,0,6549965
4,1,20-34,1,Female,4,OTH,APCA,0,0,3878604
5,1,20-34,2,Male,1,NHW,APCA,5,4,19295314
6,1,20-34,2,Male,2,NHB,APCA,0,0,4186659
7,1,20-34,2,Male,3,HIS,APCA,3,3,6886181
8,1,20-34,2,Male,4,OTH,APCA,0,0,3785306
9,2,35-44,1,Female,1,NHW,APCA,0,0,10789518
10,2,35-44,1,Female,2,NHB,APCA,0,0,2841551
11,2,35-44,1,Female,3,HIS,APCA,0,0,4706043
12,2,35-44,1,Female,4,OTH,APCA,0,0,2705155
13,2,35-44,2,Male,1,NHW,APCA,44,13,10698668
14,2,35-44,2,Male,2,NHB,APCA,39,13,2373836
15,2,35-44,2,Male,3,HIS,APCA,23,9,4477083
16,2,35-44,2,Male,4,OTH,APCA,7,5,2268050
17,3,45-54,1,Female,1,NHW,APCA,0,0,12961330
18,3,45-54,1,Female,2,NHB,APCA,0,0,2294986
19,3,45-54,1,Female,3,HIS,APCA,0,0,2981376
20,3,45-54,1,Female,4,OTH,APCA,0,0,1908325
21,3,45-54,2,Male,1,NHW,APCA,1722,79,10622756
22,3,45-54,2,Male,2,NHB,APCA,715,53,2323392
23,3,45-54,2,Male,3,HIS,APCA,322,29,3207152
24,3,45-54,2,Male,4,OTH,APCA,160,26,2807268
25,4,55-64,1,Female,1,NHW,APCA,0,0,16626401
26,4,55-64,1,Female,2,NHB,APCA,0,0,3005374
27,4,55-64,1,Female,3,HIS,APCA,0,0,2911586
28,4,55-64,1,Female,4,OTH,APCA,0,0,2629488
29,4,55-64,2,Male,1,NHW,APCA,10969,229,15564860
30,4,55-64,2,Male,2,NHB,APCA,2543,99,2050599
31,4,55-64,2,Male,3,HIS,APCA,1484,70,2832735
32,4,55-64,2,Male,4,OTH,APCA,921,60,2195076
33,5,65-74,1,Female,1,NHW,APCA,0,0,11513863
34,5,65-74,1,Female,2,NHB,APCA,0,0,1390166
35,5,65-74,1,Female,3,HIS,APCA,0,0,1616432
36,5,65-74,1,Female,4,OTH,APCA,0,0,1089947
37,5,65-74,2,Male,1,NHW,APCA,14135,248,10345066
38,5,65-74,2,Male,2,NHB,APCA,2005,87,1099252
39,5,65-74,2,Male,3,HIS,APCA,1294,59,1168063
40,5,65-74,2,Male,4,OTH,APCA,1032,52,989548
41,6,75+,1,Female,1,NHW,APCA,0,0,9145660
42,6,75+,1,Female,2,NHB,APCA,0,0,1249362
43,6,75+,1,Female,3,HIS,APCA,0,0,737080
44,6,75+,1,Female,4,OTH,APCA,0,0,689818
45,6,75+,2,Male,1,NHW,APCA,9197,201,6831819
46,6,75+,2,Male,2,NHB,APCA,1025,68,670963
47,6,75+,2,Male,3,HIS,APCA,694,40,548525
48,6,75+,2,Male,4,OTH,APCA,648,41,638884
1,1,20-34,1,Female,1,NHW,BC,0,0,18192633
2,1,20-34,1,Female,2,NHB,BC,0,0,4596338
3,1,20-34,1,Female,3,HIS,BC,0,0,6549965
4,1,20-34,1,Female,4,OTH,BC,0,0,3878604
5,1,20-34,2,Male,1,NHW,BC,0,0,19295314
6,1,20-34,2,Male,2,NHB,BC,0,0,4186659
7,1,20-34,2,Male,3,HIS,BC,0,0,6886181
8,1,20-34,2,Male,4,OTH,BC,0,0,3785306
9,2,35-44,1,Female,1,NHW,BC,0,0,10789518
10,2,35-44,1,Female,2,NHB,BC,0,0,2841551
11,2,35-44,1,Female,3,HIS,BC,0,0,4706043
12,2,35-44,1,Female,4,OTH,BC,0,0,2705155
13,2,35-44,2,Male,1,NHW,BC,0,0,10698668
14,2,35-44,2,Male,2,NHB,BC,0,0,2373836
15,2,35-44,2,Male,3,HIS,BC,0,0,4477083
16,2,35-44,2,Male,4,OTH,BC,0,0,2268050
17,3,45-54,1,Female,1,NHW,BC,13717,580,12961330
18,3,45-54,1,Female,2,NHB,BC,2405,207,2294986
19,3,45-54,1,Female,3,HIS,BC,2280,184,2981376
20,3,45-54,1,Female,4,OTH,BC,1713,178,1908325
21,3,45-54,2,Male,1,NHW,BC,0,0,10622756
22,3,45-54,2,Male,2,NHB,BC,0,0,2323392
23,3,45-54,2,Male,3,HIS,BC,0,0,3207152
24,3,45-54,2,Male,4,OTH,BC,0,0,2807268
25,4,55-64,1,Female,1,NHW,BC,52979,511,16626401
26,4,55-64,1,Female,2,NHB,BC,9228,212,3005374
27,4,55-64,1,Female,3,HIS,BC,7071,150,2911586
28,4,55-64,1,Female,4,OTH,BC,7758,175,2629488
29,4,55-64,2,Male,1,NHW,BC,0,0,15564860
30,4,55-64,2,Male,2,NHB,BC,0,0,2050599
31,4,55-64,2,Male,3,HIS,BC,0,0,2832735
32,4,55-64,2,Male,4,OTH,BC,0,0,2195076
33,5,65-74,1,Female,1,NHW,BC,54872,489,11513863
34,5,65-74,1,Female,2,NHB,BC,6141,149,1390166
35,5,65-74,1,Female,3,HIS,BC,5750,135,1616432
36,5,65-74,1,Female,4,OTH,BC,4430,101,1089947
37,5,65-74,2,Male,1,NHW,BC,0,0,10345066
38,5,65-74,2,Male,2,NHB,BC,0,0,1099252
39,5,65-74,2,Male,3,HIS,BC,0,0,1168063
40,5,65-74,2,Male,4,OTH,BC,0,0,989548
