"race","pathway","disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
2,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"direct","CMD",1120.31173276366,130.26981296665,1088.87090850768,1012.65127876106,1254.69688738385,0.0211627301714196,0.00248272312051709,0.0206487013481358,0.0190608293581348,0.0237015554844957,2.06487013481358,1.90608293581348,2.37015554844957,2.90069215015797,0.33729239177273,2.81928610088913,2.62193952740588,3.24863991478856
3,"direct","Cancer",7117.80252081869,381.597410437443,7057.90643692223,6784.10567303395,7502.41103991541,0.0811963930210916,0.00460535179074067,0.0804789601491849,0.077166216353897,0.0858363876294068,8.04789601491849,7.7166216353897,8.58363876294068,18.4292936463149,0.988025547358975,18.2742117210769,17.5652914239032,19.4251155051788
3,"medBMI","CMD",1384.25773379725,278.683968045784,1284.52219111333,1174.93232011554,1678.35835876029,0.0261432670137033,0.0052463568517739,0.0241679040263689,0.0222711682519851,0.0316944243146557,2.41679040263689,2.22711682519851,3.16944243146557,3.58409666237799,0.72156380661222,3.32586308569187,3.0421148491578,4.34557701578139
3,"medBMI","Cancer",1371.37742062234,74.832516265695,1368.99410969469,1301.32648365733,1443.45417187586,0.0156433251164936,0.000884515326510807,0.0155695940683215,0.0148365636389514,0.016512757984982,1.55695940683215,1.48365636389514,1.6512757984982,3.55074717381567,0.19375508276879,3.54457634555686,3.36937247512858,3.73736707652276
3,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"direct","CMD",1002.60249672953,266.205574462686,1076.90793713428,725.627489611117,1216.41787950391,0.038050006707771,0.0100176643514528,0.0408669337374851,0.0276225328054872,0.0460830926347976,4.08669337374851,2.76225328054872,4.60830926347976,3.91864029043021,1.04045610601348,4.20906076466402,2.83609219596919,4.75433098179249
4,"direct","Cancer",7032.41171713639,191.485293449197,7092.7511750138,6831.76109929051,7181.77379578648,0.0955817107679206,0.00388326024225009,0.0962759955050906,0.0916420323080322,0.0989312472012146,9.62759955050906,9.16420323080322,9.89312472012146,27.4859597732463,0.748414240322101,27.7217946445062,26.7017231511,28.0697367548216
4,"medBMI","CMD",1088.84875542554,234.760296299762,1205.94004222093,837.941398556897,1240.22851851811,0.04132807529504,0.00882830503166736,0.0456825650706157,0.0318941922390515,0.0470606420417893,4.56825650706157,3.18941922390515,4.70606420417893,4.25573107698571,0.917553226402696,4.71337868467814,3.2750675727574,4.84739411467545
4,"medBMI","Cancer",1830.79365971324,219.572460525387,1763.72689770715,1658.13332224279,2060.46074488887,0.0248686199518734,0.00290023382791187,0.0236434102638203,0.022825125475979,0.0279535426626129,2.36434102638203,2.2825125475979,2.79535426626129,7.15559937444666,0.858192048484188,6.89347104681626,6.48076188184315,8.05324594553601
4,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
