"female","outcome","pathway","V1","V2","V3"
1,"ENDO","medBMI",4.79052601660662,3.85675724051206,4.25352899991034
1,"ENDO","direct",0,0,0
1,"GC","medSBP",0,0,0
1,"GC","medBMI",9.25714528136911,9.69699940770172,9.50830180455743
1,"GC","direct",0,0,0
1,"HHD","direct",0,0,0
1,"HHD","medSBP",0,0,0
1,"HHD","medBMI",274.223950100988,232.302303337643,176.876758480968
1,"HSTK","medSBP",0,0,0
1,"HSTK","direct",399.897275192778,404.88855965964,420.022017446923
1,"HSTK","medBMI",74.0607528703879,96.9487454670024,95.7569135010167
1,"IHD","direct",838.031945608836,515.613578403015,657.500393575439
1,"IHD","medSBP",0,0,0
1,"IHD","medBMI",579.75324537698,686.357689817823,879.838963390445
1,"ISTK","medSBP",0,0,0
1,"ISTK","medBMI",135.332134961651,89.3704702787823,86.6527534130508
1,"ISTK","direct",294.679786955442,500.352315402978,387.227190155404
1,"KC","direct",0,0,0
1,"KC","medBMI",105.290584838949,99.062275503854,88.471741159321
1,"KC","medSBP",0,0,0
1,"LC","direct",0,0,0
1,"LC","medBMI",0,0,0
1,"LC","medSBP",0,0,0
1,"LVC","medSBP",0,0,0
1,"LVC","direct",0,0,0
1,"LVC","medBMI",43.3468179532892,30.5230287156244,46.9668855936325
1,"MLPC","medSBP",0,0,0
1,"MLPC","direct",279.218099255162,204.161568983935,288.1683925593
1,"MLPC","medBMI",0,0,0
1,"MMC","medBMI",16.9626687518626,15.3493301594938,16.8219185240624
1,"MMC","medSBP",0,0,0
1,"MMC","direct",0,0,0
1,"OC","medBMI",19.063566577656,19.020042198902,17.7864410482289
1,"OC","medSBP",0,0,0
1,"OC","direct",0,0,0
1,"OSTK","medBMI",163.262269048204,164.138543007364,177.26153532249
1,"OSTK","medSBP",0,0,0
1,"OSTK","direct",694.654207859578,709.471529167581,577.548584516077
1,"OTH","medBMI",87.2713840013744,153.218537024561,97.2330031884893
1,"OTH","medSBP",0,0,0
1,"OTH","direct",0,0,0
1,"PC","medBMI",35.3690467411176,45.7251328670228,39.5732135698167
1,"PC","medSBP",0,0,0
1,"PC","direct",0,0,0
1,"PVD","medSBP",0,0,0
1,"PVD","direct",0,0,0
1,"PVD","medBMI",16.5598496880339,17.5729109118604,20.3241506886639
1,"RHD","direct",0,0,0
1,"RHD","medBMI",9.75005268160591,9.14619745061928,9.42384847916915
1,"RHD","medSBP",0,0,0
1,"SCC","medSBP",0,0,0
1,"SCC","medBMI",6.29545428452164,7.17559776109442,6.96479078741411
1,"SCC","direct",0,0,0
1,"SCNC","medBMI",0,0,0
1,"SCNC","direct",0,0,0
1,"SCNC","medSBP",0,0,0
1,"TC","direct",0,0,0
1,"TC","medSBP",0,0,0
1,"TC","medBMI",37.4193881571695,33.1813577779353,46.8981315669986
1,"UC","direct",0,0,0
1,"UC","medBMI",501.624072248847,423.37744285078,497.302053419971
1,"UC","medSBP",0,0,0
