"female","outcome","pathway","V1","V2","V3"
1,"ENDO","direct",0,0,0
1,"GC","medSBP",0,0,0
1,"GC","medBMI",29.0416725430152,31.3639656223627,29.9262447692381
1,"GC","direct",0,0,0
1,"HHD","direct",0,0,0
1,"HHD","medSBP",0,0,0
1,"HHD","medBMI",791.614128385075,675.145540814653,522.293853779468
1,"HSTK","medSBP",0,0,0
1,"HSTK","direct",1144.72296765362,1163.12643444188,1231.83160066288
1,"HSTK","medBMI",219.922091627394,283.167698262269,286.299539662764
1,"IHD","direct",2444.7175404373,1527.98209088655,1958.33757951451
1,"IHD","medSBP",0,0,0
1,"IHD","medBMI",1707.62304792172,2021.6184749403,2596.28515424597
1,"ISTK","medSBP",0,0,0
1,"ISTK","medBMI",380.992838453877,258.26538642145,264.47714064363
1,"ISTK","direct",896.733935950419,1397.63798192001,1128.46716122066
1,"KC","direct",0,0,0
1,"KC","medBMI",314.264349410405,318.074645374924,272.487468588636
1,"KC","medSBP",0,0,0
1,"LC","direct",0,0,0
1,"LC","medBMI",0,0,0
1,"LC","medSBP",0,0,0
1,"LVC","medSBP",0,0,0
1,"LVC","direct",0,0,0
1,"LVC","medBMI",137.33721534318,101.383607051892,146.364348871319
1,"MLPC","medSBP",0,0,0
1,"MLPC","direct",783.076153579555,611.175570616871,854.725995248398
1,"MLPC","medBMI",0,0,0
1,"MMC","medBMI",52.4497765935394,50.6702538507807,51.3659588039621
1,"MMC","medSBP",0,0,0
1,"MMC","direct",0,0,0
1,"OC","medBMI",58.4518060545793,58.4779820797457,55.6041576028838
1,"OC","medSBP",0,0,0
1,"OC","direct",0,0,0
1,"OSTK","medBMI",476.180412048638,469.036872527619,532.398359236526
1,"OSTK","medSBP",0,0,0
1,"OSTK","direct",1952.97159285673,2003.75897031041,1686.54642418834
1,"OTH","medBMI",252.387767514128,426.64711744684,288.160781283865
1,"OTH","medSBP",0,0,0
1,"OTH","direct",0,0,0
1,"PC","medBMI",105.694776723486,138.325297627763,121.238356392434
1,"PC","medSBP",0,0,0
1,"PC","direct",0,0,0
1,"PVD","medSBP",0,0,0
1,"PVD","direct",0,0,0
1,"PVD","medBMI",48.7887760352343,51.0329855544586,59.9670969351961
1,"RHD","direct",0,0,0
1,"RHD","medBMI",28.2645468152992,26.9315717739424,28.4524480324936
1,"RHD","medSBP",0,0,0
1,"SCC","medSBP",0,0,0
1,"SCC","medBMI",18.3613882883393,21.3020371001937,20.8137445072959
1,"SCC","direct",0,0,0
1,"SCNC","medBMI",0,0,0
1,"SCNC","direct",0,0,0
1,"SCNC","medSBP",0,0,0
1,"TC","direct",0,0,0
1,"TC","medSBP",0,0,0
1,"TC","medBMI",114.37340294282,104.074997319363,137.827871616475
1,"UC","direct",0,0,0
1,"UC","medBMI",1472.29743326447,1350.77355659075,1501.00080858406
1,"UC","medSBP",0,0,0
